iter	Passed	Remaining
238	9221	29363
239	9256	29312
240	9290	29260
241	9323	29204
242	9357	29151
243	9390	29095
244	9422	29037
245	9455	28980
246	9487	28924
247	9520	28869
248	9552	28811
249	9585	28757
250	9617	28698
251	9648	28638
252	9680	28583
253	9713	28528
254	9745	28472
255	9778	28417
256	9810	28362
257	9842	28307
258	9874	28250
259	9905	28192
260	9937	28137
261	9971	28086
262	10002	28030
263	10040	27992
264	10073	27938
265	10104	27881
266	10137	27829
267	10170	27778
268	10204	27729
269	10238	27681
270	10270	27627
271	10303	27575
272	10335	27523
273	10367	27469
274	10399	27415
275	10431	27364
276	10463	27312
277	10496	27261
278	10529	27209
279	10561	27158
280	10592	27103
281	10624	27052
282	10657	27001
283	10689	26949
284	10722	26899
285	10756	26853
286	10789	26805
287	10823	26758
288	10855	26707
289	10887	26656
290	10922	26610
291	10955	26564
292	10990	26518
293	11021	26466
294	11053	26417
295	11088	26371
296	11121	26324
297	11154	26277
298	11188	26231
299	11220	26180
300	11253	26132
301	11285	26083
302	11316	26032
303	11352	25990
304	11386	25946
305	11421	25903
306	11458	25866
307	11492	25820
308	11525	25773
309	11557	25724
310	11589	25675
311	11623	25631
312	11659	25591
313	11694	25549
314	11732	25513
315	11766	25468
316	11805	25436
317	11842	25398
318	11878	25357
319	11916	25322
320	11953	25284
321	11990	25246
322	12028	25211
323	12067	25178
324	12100	25131
325	12134	25088
326	12167	25041
327	12199	24994
328	12231	24947
329	12263	24898
330	12295	24851
331	12327	24803
332	12358	24754
333	12390	24706
334	12421	24658
335	12453	24609
336	12484	24561
337	12516	24515
338	12548	24468
339	12580	24420
340	12618	24385
341	12649	24336
342	12680	24289
343	12713	24243
344	12746	24200
345	12779	24154
346	12811	24110
347	12844	24065
348	12876	24019
349	12916	23987
350	12950	23945
351	12982	23899
352	13013	23851
353	13045	23805
354	13076	23758
355	13108	23712
356	13141	23668
357	13171	23620
358	13203	23574
359	13235	23529
360	13266	23483
361	13298	23437
362	13336	23403
363	13367	23357
364	13400	23312
365	13431	23267
366	13463	23221
367	13495	23176
368	13527	23131
369	13559	23087
370	13590	23042
371	13622	22996
372	13653	22950
373	13684	22905
374	13716	22861
375	13750	22820
376	13783	22777
377	13816	22734
378	13848	22690
379	13883	22651
380	13915	22608
381	13950	22568
382	13982	22525
383	14015	22483
384	14047	22439
385	14141	22494
386	14207	22504
387	14253	22481
388	14283	22435
389	14322	22401
390	14353	22356
391	14385	22312
392	14415	22265
393	14448	22222
394	14479	22177
395	14511	22132
396	14541	22087
397	14572	22042
398	14604	21998
399	14637	21956
400	14668	21911
401	14699	21866
402	14734	21827
403	14765	21783
404	14797	21739
405	14829	21696
406	14861	21652
407	14892	21608
408	14924	21566
409	14961	21530
410	15064	21588
411	15150	21622
412	15220	21632
413	15255	21593
414	15286	21549
415	15318	21505
416	15351	21462
417	15383	21419
418	15414	21374
419	15446	21331
420	15483	21295
421	15515	21251
422	15547	21208
423	15578	21163
424	15611	21121
425	15644	21080
426	15679	21041
427	15712	20999
428	15748	20961
429	15780	20918
430	15813	20876
431	15844	20832
432	15876	20789
433	15907	20746
434	15940	20703
435	15973	20662
436	16004	20619
437	16036	20576
438	16067	20533
439	16100	20490
440	16131	20448
441	16163	20405
442	16194	20362
443	16230	20324
444	16328	20364
445	16422	20399
446	16475	20382
447	16507	20340
448	16542	20299
449	16574	20258
450	16604	20213
451	16637	20170
452	16669	20128
453	16701	20085
454	16735	20045
455	16767	20002
456	16799	19960
457	16830	19916
458	16861	19874
459	16894	19832
460	16925	19789
461	16958	19748
462	16990	19705
463	17022	19663
464	17053	19620
465	17086	19579
466	17118	19537
467	17150	19496
468	17182	19454
469	17215	19413
470	17246	19370
471	17278	19328
472	17309	19286
473	17340	19242
474	17372	19201
475	17417	19174
476	17449	19132
477	17485	19095
478	17584	19126
479	17678	19151
480	17718	19118
481	17749	19074
482	17781	19033
483	17814	18992
484	17846	18950
485	17878	18908
486	17908	18864
487	17941	18823
488	17973	18782
489	18005	18740
490	18036	18697
491	18067	18655
492	18099	18613
493	18136	18577
494	18167	18534
495	18199	18493
496	18230	18450
497	18261	18408
498	18292	18366
499	18325	18325
500	18356	18283
501	18388	18242
502	18423	18203
503	18456	18163
504	18488	18122
505	18520	18081
506	18555	18043
507	18589	18004
508	18622	17963
509	18659	17927
510	18691	17886
511	18723	17846
512	18825	17871
513	18904	17874
514	18942	17838
515	18974	17797
516	19005	17755
517	19037	17713
518	19068	17671
519	19099	17630
520	19130	17588
521	19162	17547
522	19195	17506
523	19226	17464
524	19263	17428
525	19294	17387
526	19326	17345
527	19358	17305
528	19391	17265
529	19425	17226
530	19457	17185
531	19489	17144
532	19522	17104
533	19554	17064
534	19586	17023
535	19618	16983
536	19650	16942
537	19681	16900
538	19712	16860
539	19743	16818
540	19775	16777
541	19807	16737
542	19840	16698
543	19872	16657
544	19903	16616
545	19936	16577
546	19967	16536
547	19999	16496
548	20036	16459
549	20142	16480
550	20241	16494
551	20290	16468
552	20323	16428
553	20359	16390
554	20392	16350
555	20425	16311
556	20458	16271
557	20489	16229
558	20519	16188
559	20550	16147
560	20582	16106
561	20614	16065
562	20645	16025
563	20677	15984
564	20709	15944
565	20740	15903
566	20771	15862
567	20803	15822
568	20834	15781
569	20867	15741
570	20903	15705
571	20935	15664
572	20968	15625
573	21000	15585
574	21032	15545
575	21064	15505
576	21096	15465
577	21128	15425
578	21160	15385
579	21192	15346
580	21224	15306
581	21256	15266
582	21294	15231
583	21325	15190
584	21356	15150
585	21388	15110
586	21422	15072
587	21453	15032
588	21486	14993
589	21517	14953
590	21549	14912
591	21581	14873
592	21612	14833
593	21644	14794
594	21683	14759
595	21714	14719
596	21746	14679
597	21778	14640
598	21810	14600
599	21841	14560
600	21873	14521
601	21905	14482
602	21937	14443
603	21968	14403
604	22006	14368
605	22038	14328
606	22070	14289
607	22102	14250
608	22133	14210
609	22164	14170
610	22195	14131
611	22228	14092
612	22263	14055
613	22296	14016
614	22336	13982
615	22367	13943
616	22399	13904
617	22431	13865
618	22463	13826
619	22495	13787
620	22528	13749
621	22560	13710
622	22591	13671
623	22624	13632
624	22655	13593
625	22686	13553
626	22719	13515
627	22752	13477
628	22784	13438
629	22817	13400
630	22849	13362
631	22881	13323
632	22912	13284
633	22944	13245
634	22976	13207
635	23008	13168
636	23039	13129
637	23071	13090
638	23109	13055
639	23141	13016
640	23172	12977
641	23203	12938
642	23235	12900
643	23268	12862
644	23300	12824
645	23333	12786
646	23365	12748
647	23397	12709
648	23434	12673
649	23465	12635
650	23497	12596
651	23529	12558
652	23560	12520
653	23591	12481
654	23624	12443
655	23656	12405
656	23689	12367
657	23721	12329
658	23754	12291
659	23786	12253
660	23819	12216
661	23850	12177
662	23882	12139
663	23914	12101
664	23945	12062
665	23982	12027
666	24074	12019
667	24164	12010
668	24206	11976
669	24239	11938
670	24270	11900
671	24302	11861
672	24338	11825
673	24369	11787
674	24400	11748
675	24432	11710
676	24463	11671
677	24495	11633
678	24528	11596
679	24559	11557
680	24591	11519
681	24624	11481
682	24656	11444
683	24689	11406
684	24721	11368
685	24754	11330
686	24786	11292
687	24819	11255
688	24857	11220
689	24890	11182
690	24922	11144
691	24954	11106
692	24985	11068
693	25016	11030
694	25048	10992
695	25079	10954
696	25110	10916
697	25143	10878
698	25175	10840
699	25207	10803
700	25244	10767
701	25339	10756
702	25428	10742
703	25477	10712
704	25510	10674
705	25543	10636
706	25574	10598
707	25606	10560
708	25639	10523
709	25675	10487
710	25707	10449
711	25739	10411
712	25789	10381
713	25886	10369
714	25944	10341
715	25977	10304
716	26009	10265
717	26043	10228
718	26076	10191
719	26109	10153
720	26141	10115
721	26174	10078
722	26205	10040
723	26237	10002
724	26270	9964
725	26302	9926
726	26333	9888
727	26365	9850
728	26396	9812
729	26427	9774
730	26459	9736
731	26497	9701
732	26594	9687
733	26690	9672
734	26737	9639
735	26768	9601
736	26799	9563
737	26831	9525
738	26863	9487
739	26894	9449
740	26926	9411
741	26957	9373
742	26990	9335
743	27023	9298
744	27054	9260
745	27086	9222
746	27118	9184
747	27150	9146
748	27181	9108
749	27213	9071
750	27245	9033
751	27277	8995
752	27308	8957
753	27340	8919
754	27371	8882
755	27402	8844
756	27434	8806
757	27465	8768
758	27499	8731
759	27531	8694
760	27563	8656
761	27597	8619
762	27628	8581
763	27660	8544
764	27698	8508
765	27730	8471
766	27838	8456
767	27928	8436
768	27960	8399
769	27993	8361
770	28028	8324
771	28065	8288
772	28097	8251
773	28128	8213
774	28160	8175
775	28193	8138
776	28225	8100
777	28258	8063
778	28290	8026
779	28323	7988
780	28355	7951
781	28388	7913
782	28426	7878
783	28458	7840
784	28491	7803
785	28523	7765
786	28556	7728
787	28588	7691
788	28627	7655
789	28660	7618
790	28691	7580
791	28725	7543
792	28758	7506
793	28790	7469
794	28823	7432
795	28856	7395
796	28888	7357
797	28921	7320
798	28953	7283
799	28988	7247
800	29087	7226
801	29195	7207
802	29355	7201
803	29405	7168
804	29439	7131
805	29473	7094
806	29506	7056
807	29539	7019
808	29571	6981
809	29604	6944
810	29637	6906
811	29669	6869
812	29701	6831
813	29734	6794
814	29766	6756
815	29800	6719
816	29833	6682
817	29866	6645
818	29901	6608
819	29935	6571
820	29969	6534
821	30001	6496
822	30035	6459
823	30067	6422
824	30100	6384
825	30131	6347
826	30164	6310
827	30197	6272
828	30229	6235
829	30260	6197
830	30298	6161
831	30403	6139
832	30459	6106
833	30492	6069
834	30524	6031
835	30555	5994
836	30588	5956
837	30620	5919
838	30653	5882
839	30685	5844
840	30717	5807
841	30749	5770
842	30782	5732
843	30814	5695
844	30846	5658
845	30879	5621
846	30913	5584
847	30953	5548
848	30986	5511
849	31019	5474
850	31053	5437
851	31086	5400
852	31119	5362
853	31152	5325
854	31184	5288
855	31216	5251
856	31249	5214
857	31282	5177
858	31315	5140
859	31349	5103
860	31382	5066
861	31415	5029
862	31446	4992
863	31479	4955
864	31518	4919
865	31552	4882
866	31584	4845
867	31618	4808
868	31653	4771
869	31688	4734
870	31723	4698
871	31757	4661
872	31792	4625
873	31830	4588
874	31865	4552
875	31902	4515
876	31937	4479
877	31973	4442
878	32010	4406
879	32051	4370
880	32090	4334
881	32129	4298
882	32167	4262
883	32205	4226
884	32240	4189
885	32275	4152
886	32309	4116
887	32343	4079
888	32377	4042
889	32412	4005
890	32446	3969
891	32482	3932
892	32516	3896
893	32550	3859
894	32584	3822
895	32619	3786
896	32655	3749
897	32690	3713
898	32724	3676
899	32760	3640
900	32796	3603
901	32830	3566
902	32863	3530
903	32896	3493
904	32928	3456
905	32961	3419
906	32993	3383
907	33026	3346
908	33066	3310
909	33186	3282
910	33281	3251
911	33329	3216
912	33378	3180
913	33424	3144
914	33470	3109
915	33531	3074
916	33574	3038
917	33625	3003
918	33674	2968
919	33722	2932
920	33774	2897
921	33837	2862
922	33880	2826
923	33925	2790
924	33977	2754
925	34021	2718
926	34065	2682
927	34109	2646
928	34162	2610
929	34208	2574
930	34241	2537
931	34272	2500
932	34311	2463
933	34343	2426
934	34376	2389
935	34408	2352
936	34441	2315
937	34471	2278
938	34504	2241
939	34536	2204
940	34567	2167
941	34599	2130
942	34631	2093
943	34668	2056
944	34702	2019
945	34735	1982
946	34767	1945
947	34801	1908
948	34833	1871
949	34867	1835
950	34898	1798
951	34930	1761
952	34961	1724
953	34993	1687
954	35024	1650
955	35056	1613
956	35087	1576
957	35118	1539
958	35150	1502
959	35182	1465
960	35214	1429
961	35246	1392
962	35278	1355
963	35310	1318
964	35340	1281
965	35372	1244
966	35403	1208
967	35436	1171
968	35466	1134
969	35498	1097
970	35530	1061
971	35562	1024
972	35593	987
973	35625	950
974	35664	914
975	35775	879
976	35860	844
977	35897	807
978	35933	770
979	35966	734
980	36001	697
981	36036	660
982	36070	623
983	36105	587
984	36139	550
985	36174	513
986	36206	476
987	36238	440
988	36269	403
989	36301	366
990	36333	329
991	36365	293
992	36397	256
993	36430	219
994	36461	183
995	36492	146
996	36525	109
997	36557	73
998	36588	36
999	36620	0
