iter	Logloss
0	0.6911984324
1	0.6891879212
2	0.6872605172
3	0.6852499201
4	0.6836636664
5	0.6820798009
6	0.6801199594
7	0.6785212292
8	0.676874083
9	0.6748801103
10	0.6734330176
11	0.6720121646
12	0.6706942576
13	0.6695971749
14	0.6680251692
15	0.6666451021
16	0.6653646469
17	0.6642531235
18	0.6629419228
19	0.6619408052
20	0.6605895835
21	0.6592772685
22	0.6580243039
23	0.6571207888
24	0.6560427439
25	0.6547000274
26	0.6537886039
27	0.6529044278
28	0.6520642737
29	0.6510099333
30	0.650054873
31	0.6490548355
32	0.6479111246
33	0.646757015
34	0.6459962812
35	0.6454015313
36	0.6445367547
37	0.6435570239
38	0.642862681
39	0.6420950578
40	0.6414044027
41	0.6406159553
42	0.6400846964
43	0.6395986176
44	0.6388612434
45	0.6380982872
46	0.6375976781
47	0.6371283099
48	0.6365429993
49	0.6359219083
50	0.6352332832
51	0.6345975678
52	0.6338631968
53	0.6331584692
54	0.6325966735
55	0.6320038149
56	0.6314792682
57	0.6308848612
58	0.6302061046
59	0.6295106967
60	0.6288896704
61	0.6282778204
62	0.6277501655
63	0.6269800733
64	0.6265682601
65	0.6258634418
66	0.625450287
67	0.6249765498
68	0.6245006028
69	0.6240992292
70	0.6237930646
71	0.6230608404
72	0.6224993169
73	0.6218232067
74	0.6212786866
75	0.6209125187
76	0.6204162077
77	0.6196387759
78	0.6193695188
79	0.618796716
80	0.6182903864
81	0.6178071565
82	0.6173513588
83	0.6166330047
84	0.6162122071
85	0.6158655921
86	0.6155504744
87	0.6151264368
88	0.6145604635
89	0.6141921161
90	0.613709817
91	0.6132076885
92	0.6128093939
93	0.6122973393
94	0.6118878076
95	0.6114312357
96	0.6108968671
97	0.6105824087
98	0.6101402506
99	0.6097604745
100	0.6094693
101	0.6090811066
102	0.6086083084
103	0.6079356829
104	0.6074808014
105	0.6070516602
106	0.6065304873
107	0.6060303008
108	0.6055996637
109	0.6052218887
110	0.6049648478
111	0.6045195634
112	0.6040603569
113	0.6035817655
114	0.6032235261
115	0.6027644006
116	0.6025517231
117	0.6021245614
118	0.6017783821
119	0.6014807894
120	0.6012604127
121	0.6008062955
122	0.6004749981
123	0.600079698
124	0.5997280715
125	0.5994290973
126	0.5990526823
127	0.5987353296
128	0.5983794731
129	0.5981025077
130	0.5978339924
131	0.597579131
132	0.5972777948
133	0.5970024548
134	0.5965316842
135	0.5960281357
136	0.5957729449
137	0.5955063488
138	0.5952015435
139	0.5947912407
140	0.5946291252
141	0.5943370909
142	0.5938757158
143	0.5935473897
144	0.5929338906
145	0.5926850304
146	0.592427468
147	0.5920223735
148	0.5915195513
149	0.5912361633
150	0.5908308501
151	0.5906478256
152	0.5903491729
153	0.5902175901
154	0.5898689197
155	0.5895362261
156	0.5890458844
157	0.5887417093
158	0.5883521712
159	0.5880187866
160	0.5877532771
161	0.5875330492
162	0.5872729332
163	0.5869523149
164	0.5866862895
165	0.5864986931
166	0.5861258185
167	0.5856964056
168	0.5853679661
169	0.5849534526
170	0.5846321814
171	0.5843999077
172	0.5839543643
173	0.5835507613
174	0.5833028917
175	0.5829916596
176	0.5826286009
177	0.5824123234
178	0.5820598595
179	0.581667011
180	0.5814462597
181	0.5811456045
182	0.5810329239
183	0.580663817
184	0.5803287681
185	0.5800817491
186	0.5798551859
187	0.579670174
188	0.5793471797
189	0.5791134303
190	0.5787381928
191	0.5783892141
192	0.5781846585
193	0.5779762168
194	0.5778349572
195	0.5775296942
196	0.5772711529
197	0.576977775
198	0.5766705043
199	0.5762507007
200	0.5758909523
201	0.5756021056
202	0.5753141217
203	0.575013347
204	0.5747428998
205	0.5744649958
206	0.574121039
207	0.5737524826
208	0.5735778098
209	0.5732572854
210	0.5729318938
211	0.5724522934
212	0.5721234024
213	0.5717185453
214	0.5714692088
215	0.5711320576
216	0.5707603329
217	0.5705168962
218	0.5702225154
219	0.5700760146
220	0.5697469044
221	0.5694863931
222	0.5693333477
223	0.5691083465
224	0.5688539853
225	0.5685538336
226	0.568320282
227	0.5680634642
228	0.5678170566
229	0.5674929838
230	0.5671406442
231	0.5668512016
232	0.5666130591
233	0.5663807333
234	0.5659604246
235	0.5656680684
236	0.5653623726
237	0.5650585305
238	0.564809051
239	0.5645584125
240	0.564336552
241	0.5641004787
242	0.563764845
243	0.5634356408
244	0.563349297
245	0.5631323799
246	0.5628992108
247	0.5626695291
248	0.5624715531
249	0.562282383
250	0.5619847595
251	0.5617740491
252	0.5616566781
253	0.5614412519
254	0.5612125369
255	0.5609361181
256	0.5606637635
257	0.5603121989
258	0.5600538252
259	0.5598208486
260	0.5596610988
261	0.5593219663
262	0.5590707767
263	0.5587519141
264	0.5585747328
265	0.5583785177
266	0.5582550662
267	0.5580589946
268	0.5578060567
269	0.5575042946
270	0.5572131751
271	0.5569300539
272	0.5565821464
273	0.5563992773
274	0.5562138538
275	0.5560311299
276	0.5556347226
277	0.5552925929
278	0.55504531
279	0.5549131865
280	0.5546911235
281	0.5544356527
282	0.5541617701
283	0.5539787128
284	0.5536473867
285	0.5534592851
286	0.553109468
287	0.5529282801
288	0.5527167575
289	0.552490944
290	0.5523096062
291	0.5521117263
292	0.5518735817
293	0.5517936386
294	0.5516085611
295	0.5514445194
296	0.5511603961
297	0.5508164196
298	0.5504963939
299	0.550318108
300	0.5501374963
301	0.5499419905
302	0.5497037602
303	0.5495026826
304	0.549154408
305	0.5489566135
306	0.5486308532
307	0.5484688983
308	0.5482221023
309	0.5480128353
310	0.5478258842
311	0.547577546
312	0.5473987541
313	0.5471380099
314	0.5469489574
315	0.5467324465
316	0.5463537432
317	0.5461217708
318	0.5459276056
319	0.5455538773
320	0.5453304562
321	0.5451228608
322	0.5448928747
323	0.5446521476
324	0.5443235989
325	0.5440368412
326	0.5438308967
327	0.5436218315
328	0.5434639101
329	0.5432279778
330	0.5429343034
331	0.5426612437
332	0.5425151559
333	0.54226379
334	0.5420920415
335	0.541915328
336	0.5417178931
337	0.541373275
338	0.5411882009
339	0.5409225695
340	0.5407003613
341	0.5405844175
342	0.5404051676
343	0.54003872
